stop_id	 stop_code	stop_name	stop_desc	stop_lat	stop_lon	zone_id	location_type	parent_station
AA	AA	Stop AA	-	-41.236	174.77	3	0
AB	AB	Stop AB	-	-41.236	174.773	3	0
AC	AC	Stop AC	-	-41.236	174.776	3	0
AD	AD	Stop AD	-	-41.236	174.779	3	0
AE	AE	Stop AE	-	-41.236	174.782	3	0
AF	AF	Stop AF	-	-41.236	174.785	3	0
AG	AG	Stop AG	-	-41.236	174.788	3	0
AH	AH	Stop AH	-	-41.236	174.791	3	0
AI	AI	Stop AI	-	-41.236	174.794	3	0
AJ	AJ	Stop AJ	-	-41.236	174.797	3	0
AK	AK	Stop AK	-	-41.236	174.8	3	0
BA	BA	Stop BA	-	-41.239999999999995	174.77	3	0
BB	BB	Stop BB	-	-41.239999999999995	174.773	3	0
BC	BC	Stop BC	-	-41.239999999999995	174.776	3	0
BD	BD	Stop BD	-	-41.239999999999995	174.779	3	0
BE	BE	Stop BE	-	-41.239999999999995	174.7818	3	0
BF	BF	Stop BF	-	-41.239999999999995	174.785	3	0
BG	BG	Stop BG	-	-41.239999999999995	174.788	3	0
BH	BH	Stop BH	-	-41.239999999999995	174.791	3	0
BI	BI	Stop BI	-	-41.239999999999995	174.794	3	0
BJ	BJ	Stop BJ	-	-41.239999999999995	174.797	3	0
BK	BK	Stop BK	-	-41.239999999999995	174.8	3	0
CA	CA	Stop CA	-	-41.244	174.77	3	0
CB	CB	Stop CB	-	-41.244	174.773	3	0
CC	CC	Stop CC	-	-41.244	174.776	3	0
CD	CD	Stop CD	-	-41.244	174.779	3	0
CE	CE	Stop CE	-	-41.244	174.782	3	0
CF	CF	Stop CF	-	-41.244	174.785	3	0
CG	CG	Stop CG	-	-41.244	174.788	3	0
CH	CH	Stop CH	-	-41.244	174.791	3	0
CI	CI	Stop CI	-	-41.244	174.794	3	0
CJ	CJ	Stop CJ	-	-41.244	174.797	3	0
CK	CK	Stop CK	-	-41.244	174.8	3	0
DA	DA	Stop DA	-	-41.248	174.77	3	0
DB	DB	Stop DB	-	-41.248	174.773	3	0
DC	DC	Stop DC	-	-41.248	174.776	3	0
DD	DD	Stop DD	-	-41.248	174.779	3	0
DE	DE	Stop DE	-	-41.248	174.782	3	0
DF	DF	Stop DF	-	-41.248	174.785	3	0
DG	DG	Stop DG	-	-41.248	174.788	3	0
DH	DH	Stop DH	-	-41.248	174.791	3	0
DI	DI	Stop DI	-	-41.248	174.794	3	0
DJ	DJ	Stop DJ	-	-41.248	174.797	3	0
DK	DK	Stop DK	-	-41.248	174.8	3	0
EA	EA	Stop EA	-	-41.251999999999995	174.77	3	0
EB	EB	Stop EB	-	-41.251999999999995	174.773	3	0
EC	EC	Stop EC	-	-41.251999999999995	174.776	3	0
ED	ED	Stop ED	-	-41.251999999999995	174.779	3	0
EE	EE	Stop EE	-	-41.251999999999995	174.782	3	0
EF	EF	Stop EF	-	-41.251999999999995	174.785	3	0
EG	EG	Stop EG	-	-41.251999999999995	174.788	3	0
EH	EH	Stop EH	-	-41.251799999999996	174.791	3	0
EI	EI	Stop EI	-	-41.251999999999995	174.794	3	0
EJ	EJ	Stop EJ	-	-41.251999999999995	174.797	3	0
EK	EK	Stop EK	-	-41.251999999999995	174.8	3	0
FA	FA	Stop FA	-	-41.256	174.77	3	0
FB	FB	Stop FB	-	-41.256	174.773	3	0
FC	FC	Stop FC	-	-41.256	174.776	3	0
FD	FD	Stop FD	-	-41.256	174.779	3	0
FE	FE	Stop FE	-	-41.256	174.782	3	0
FF	FF	Stop FF	-	-41.256	174.785	3	0
FG	FG	Stop FG	-	-41.256	174.788	3	0
FH	FH	Stop FH	-	-41.256	174.791	3	0
FI	FI	Stop FI	-	-41.256	174.794	3	0
FJ	FJ	Stop FJ	-	-41.256	174.797	3	0
FK	FK	Stop FK	-	-41.256	174.8	3	0
GA	GA	Stop GA	-	-41.26	174.77	3	0
GB	GB	Stop GB	-	-41.26	174.773	3	0
GC	GC	Stop GC	-	-41.26	174.776	3	0
GD	GD	Stop GD	-	-41.26	174.779	3	0
GE	GE	Stop GE	-	-41.26	174.782	3	0
GF	GF	Stop GF	-	-41.26	174.785	3	0
GG	GG	Stop GG	-	-41.26	174.788	3	0
GH	GH	Stop GH	-	-41.26	174.791	3	0
GI	GI	Stop GI	-	-41.26	174.794	3	0
GJ	GJ	Stop GJ	-	-41.26	174.797	3	0
GK	GK	Stop GK	-	-41.26	174.8	3	0
